Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
Total,,,,11711074,828757.2889,76934,68306.508,130193772,4.11
xlQ99tsv74A,Water Leaking From Freezer – Solved!,"Jul 27, 2020",249,1310830,43342.0927,2950,9222.87,18201536,2.92
3AhuzamWqqs,Garage Door Motor Not Working – Solved!,"Jan 24, 2022",583,356635,17140.2242,642,3671.332,3221102,7.14
0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",518,421788,19791.913,864,3636.126,1864451,8.3
Pl9JZUrEWrQ,Ford Transit 15 Passenger Van Overview,"Oct 1, 2019",1699,199730,13473.7054,593,2495.84,1226888,6.7
wzV69AfLUBg,Refill Inkjet Printer Cartridges,"May 16, 2022",887,258746,20105.544,732,2312.89,3231130,4.44
okP4Emly7eg,HDMI Output and USB Input on Your Phone,"Feb 22, 2021",1057,307690,17946.1938,1633,2003.681,3279143,4.66
Z_V93Ex2VFc,Seating in a 15 Passenger Ford Transit Van/Wagon: Details and Removing Rear Seats,"Oct 15, 2019",2352,147757,15909.3935,725,1976.279,1506460,4.24
wb3Dq4NM3QY,Using a Memory Saver When Disconnecting Your Car Battery,"Oct 15, 2019",419,184168,8241.1018,302,1112.968,1036655,5.96
Rhy82gY2caE,Using an iPad as a Second Laptop Monitor Via Duet Display,"Nov 27, 2018",861,244094,13378.5776,248,1080.115,2522440,5.18
iAVNF-1MPoE,Refillable 1 Pound Propane Bottles,"Jul 5, 2021",1777,63518,11058.5602,324,1003.396,719687,3.83
m7c45On2eYk,Getting Started with Blender for Video Editing,"Nov 14, 2019",2135,238396,25293.03,3177,940.298,3362412,2.96
GpA6u3KR7EQ,Haul-Master Motorcycle Carrier from Harbor Freight,"Nov 2, 2020",2283,66697,9021.0799,123,903.862,627074,4.7
Yvgxx2vwsRY,Getting Started with Perforce and P4V,"Dec 22, 2017",963,165664,12949.0357,363,902.405,725015,8.26
okaxKzoyMK0,Coriolis Effect Demonstration (with Drones),"Jan 7, 2019",826,281693,19826.4061,3042,891.453,5532447,3.8
