Comment ID,Channel ID,Comment Create Timestamp,Price,Parent Comment ID,Post ID,Video ID,Comment Text
UgxrD8MRdcIZbZFTOOl4AaABAg.9PGZ2yOCTko9PGg2jjStFs,UCPUuVY7w8brL0r__P8UBgyQ,2021-07-01T21:26:46.379219+00:00,0,UgxrD8MRdcIZbZFTOOl4AaABAg,,wEevt2a4SKI,"{""text"":""Beite,""},{""text"":""\n""},{""text"":""\n""},{""text"":""Thanks for the kind words.  If you have suggestions for future videos, please consider supporting the channel via Patreon at ""},{""text"":""https://www.patreon.com/christopherwlum"",""link"":{""linkUrl"":""https://www.patreon.com/christopherwlum""}},{""text"":"".  I interact personally with Patrons at all levels.  Thanks for watching!""}"
UgxhGVC5AtlgoS8DZ2V4AaABAg,UCPUuVY7w8brL0r__P8UBgyQ,2021-06-30T15:15:31.974918+00:00,0,,,JO6Tai2qyec,"{""text"":""In case it is helpful, here are all my reviews and unboxing videos in a single playlist (""},{""text"":"".  All my REI videos are located at ""},{""text"":""https://www.youtube.com/playlist?list=PLxdnSsBqCrrHWi9t5sPaGFZOiurGv6f2Y"",""playlistLink"":{""externalPlaylistId"":""PLxdnSsBqCrrHWi9t5sPaGFZOiurGv6f2Y""}},{""text"":"".  Please let me know what you think in the comments.  You can support this channel via Patreon at ""},{""text"":""https://www.patreon.com/christopherwlum"",""link"":{""linkUrl"":""https://www.patreon.com/christopherwlum""}},{""text"":"" or by clicking on the 'Thanks' button underneath the video .  Thanks for watching!""}"
UgwhHhgaXFGmH3rH1lB4AaABAg.9PBXGNuSr6l9PBo-8JnyUI,UCPUuVY7w8brL0r__P8UBgyQ,2021-06-29T23:59:59.038848+00:00,0,UgwhHhgaXFGmH3rH1lB4AaABAg,,zIAD8V4KqXU,"{""text"":""Yes, I'm working on that video right now, hopefully it should be up soon.  If you're subscribed hopefully you'll be notified when it goes live.  Thanks for watching!""}"
UgzwhZ4uCWMJyT-L7JN4AaABAg.9P8MsPdSTki9P8v_Ua8JR3,UCPUuVY7w8brL0r__P8UBgyQ,2021-06-28T21:08:31.709052+00:00,0,UgzwhZ4uCWMJyT-L7JN4AaABAg,,n829SwSUZ_c,"{""text"":""Thanks for reaching out.  If you have questions or would like to request a video, please consider supporting the channel via Patreon at ""},{""text"":""https://www.patreon.com/christopherwlum"",""link"":{""linkUrl"":""https://www.patreon.com/christopherwlum""}},{""text"":"".  I interact personally with Patrons at all levels.  Thanks for watching!""}"
UgxoiLdq6HSnYBLliah4AaABAg.9OrWcRB6rQp9P8vXS0z-ju,UCPUuVY7w8brL0r__P8UBgyQ,2021-06-28T21:08:06.718645+00:00,0,UgxoiLdq6HSnYBLliah4AaABAg,,Pl9JZUrEWrQ,"{""text"":""Blake,""},{""text"":""\n""},{""text"":""\n""},{""text"":""I bought it with around 50k miles on it.  If you have detailed questions or would like to request a video, please consider supporting the channel via Patreon at ""},{""text"":""https://www.patreon.com/christopherwlum"",""link"":{""linkUrl"":""https://www.patreon.com/christopherwlum""}},{""text"":"".  I interact personally with Patrons at all levels.  Thanks for watching!""}"
UgymReZZI_Sfgux8VfJ4AaABAg.9P8D9KsHO_j9P8vSpuD6lB,UCPUuVY7w8brL0r__P8UBgyQ,2021-06-28T21:07:28.942057+00:00,0,UgymReZZI_Sfgux8VfJ4AaABAg,,LQf2Vd-frsA,"{""text"":""Sachio,""},{""text"":""\n""},{""text"":""\n""},{""text"":""Thanks for the kind words.  I've noticed you've watched a few videos.  If you have questions or would like to request a video, please consider supporting the channel via Patreon at ""},{""text"":""https://www.patreon.com/christopherwlum"",""link"":{""linkUrl"":""https://www.patreon.com/christopherwlum""}},{""text"":"".  I interact personally with Patrons at all levels.  Thanks for watching!""},{""text"":""\n""},{""text"":""\n""},{""text"":""-Chris""}"
UgxGkZaL6ghKrUOWpXZ4AaABAg,UCPUuVY7w8brL0r__P8UBgyQ,2021-06-21T22:00:14.652903+00:00,0,,,2KC_neRj4YE,"{""text"":""In case it is helpful, here are all my home DIY videos in a single playlist ""},{""text"":""https://www.youtube.com/playlist?list=PLxdnSsBqCrrEt05uhC6NenK_vAOawMuFt"",""playlistLink"":{""externalPlaylistId"":""PLxdnSsBqCrrEt05uhC6NenK_vAOawMuFt""}},{""text"":"".  Please let me know what you think in the comments.  Thanks for watching!""}"
Ugye4H24LtCx48HZzKx4AaABAg.9NS1U14t55b9OqB3uKh76t,UCPUuVY7w8brL0r__P8UBgyQ,2021-06-21T05:07:49.044763+00:00,0,Ugye4H24LtCx48HZzKx4AaABAg,,yr6om0e0oAQ,"{""text"":""Ali,""},{""text"":""\n""},{""text"":""\n""},{""text"":""Thanks for the kind words.  If you have questions or would like to request a video, please consider supporting the channel via Patreon at ""},{""text"":""https://www.patreon.com/christopherwlum"",""link"":{""linkUrl"":""https://www.patreon.com/christopherwlum""}},{""text"":"".  I interact personally with Patrons at all levels.  Thanks for watching!""}"
Ugwaej_upJvzQckunjx4AaABAg.9NXg3bTyMzf9OqB-Zl3zZA,UCPUuVY7w8brL0r__P8UBgyQ,2021-06-21T05:07:13.553054+00:00,0,Ugwaej_upJvzQckunjx4AaABAg,,yr6om0e0oAQ,"{""text"":""Mohamed,""},{""text"":""\n""},{""text"":""\n""},{""text"":""Thanks for the kind words.  If you have questions or would like to request a video, please consider supporting the channel via Patreon at ""},{""text"":""https://www.patreon.com/christopherwlum"",""link"":{""linkUrl"":""https://www.patreon.com/christopherwlum""}},{""text"":"".  I interact personally with Patrons at all levels.  Thanks for watching!""}"
UgwL21RKNFxTcTiCdYZ4AaABAg.9Op8MiFOix69OqAx0vAOFp,UCPUuVY7w8brL0r__P8UBgyQ,2021-06-21T05:06:44.487387+00:00,0,UgwL21RKNFxTcTiCdYZ4AaABAg,,yr6om0e0oAQ,"{""text"":""Potatorino,""},{""text"":""\n""},{""text"":""\n""},{""text"":""Thanks for the kind words.  If you have questions or would like to request a video, please consider supporting the channel via Patreon at ""},{""text"":""https://www.patreon.com/christopherwlum"",""link"":{""linkUrl"":""https://www.patreon.com/christopherwlum""}},{""text"":"".  I interact personally with Patrons at all levels.  Thanks for watching!""}"
UgzW5abDBjbnLG3ew_V4AaABAg.9OjCa5sv_Rh9OjTnumlz5Y,UCPUuVY7w8brL0r__P8UBgyQ,2021-06-18T14:36:50.271997+00:00,0,UgzW5abDBjbnLG3ew_V4AaABAg,,sF_sjFqNFUk,"{""text"":""Thanks for reaching out.  If you have questions or would like to request a video, please consider supporting the channel via Patreon at ""},{""text"":""https://www.patreon.com/christopherwlum"",""link"":{""linkUrl"":""https://www.patreon.com/christopherwlum""}},{""text"":"".  I interact personally with Patrons at all levels.  Thanks for watching!""}"
