Comment ID,Channel ID,Comment Create Timestamp,Price,Parent Comment ID,Video ID,Comment Text
UgytEv-0NEIJN5F9-aZ4AaABAg.8v4gmKh43mh8v4kyYK7fLh,UCPUuVY7w8brL0r__P8UBgyQ,2019-05-18T18:05:38.92501+00:00,0,UgytEv-0NEIJN5F9-aZ4AaABAg,RPzFLzKkQGs,"{""text"":""I'm glad you're enjoying them.  I'll have a lot more coming so stay tuned.  Thanks for watching!""}"
UgwMSaa226_0tE7GGPB4AaABAg.8v4cOuLi_7e8v4kt4dz4_O,UCPUuVY7w8brL0r__P8UBgyQ,2019-05-18T18:04:54.143757+00:00,0,UgwMSaa226_0tE7GGPB4AaABAg,j-utznrXmcY,"{""text"":""I'm glad it was helpful, thanks for watching!""}"
UgyTnS_Nx8zOmN2nkTZ4AaABAg.8uyuV1CSADs8v4b1qpMYlK,UCPUuVY7w8brL0r__P8UBgyQ,2019-05-18T16:38:51.217403+00:00,0,UgyTnS_Nx8zOmN2nkTZ4AaABAg,evVi_D7C6mA,"{""text"":""Great question.  In general we only look for the minus 3 dB point.  However, as the designer, you get to define degraded so if amplification is bad in your application, feel free to use this as your performance metric. However most people define bandwidth as attenuation.""}"
UgyBworbmbzWcJoSni54AaABAg.8v4ZG4BNquw8v4aixpeAy5,UCPUuVY7w8brL0r__P8UBgyQ,2019-05-18T16:36:08.360292+00:00,0,UgyBworbmbzWcJoSni54AaABAg,evVi_D7C6mA,"{""text"":""That is a great suggestion.  I am working to organize the content and a syllabus is a superb idea.  Thanks for watching!""}"
UgyuRXeJ-ZVHCjNhcwN4AaABAg.8uzA2XE-Eom8uzBkZTa6jH,UCPUuVY7w8brL0r__P8UBgyQ,2019-05-16T04:53:43.359722+00:00,0,UgyuRXeJ-ZVHCjNhcwN4AaABAg,evVi_D7C6mA,"{""text"":""Here is another appearance of the in a video ""},{""text"":""https://youtu.be/3I1_5M7Okqo?t=37"",""videoLink"":{""externalVideoId"":""3I1_5M7Okqo"",""startTimeSeconds"":37}}"
UgyCbWwj6ELxNoDL-A54AaABAg.8uys6Bqb-W88uysgjlGggw,UCPUuVY7w8brL0r__P8UBgyQ,2019-05-16T01:58:26.321919+00:00,0,UgyCbWwj6ELxNoDL-A54AaABAg,LQf2Vd-frsA,"{""text"":""That is an excellent question.  There should be no difference between the minimal realization and the original system.  The should be mathematically the same.  If you'd like to convince yourself of this, I would recommend building a Simulink model of the two systems and simulate, the outputs should be the same.""}"
UgyRnJSGEy4AvusnkXl4AaABAg.8uwROtmWFIY8uwdOOkwhuh,UCPUuVY7w8brL0r__P8UBgyQ,2019-05-15T05:06:14.635876+00:00,0,UgyRnJSGEy4AvusnkXl4AaABAg,evVi_D7C6mA,"{""text"":""Roger that, I will try to stick more dog references into the videos.  Here is another appearance of Gus in a video ""},{""text"":""https://youtu.be/3I1_5M7Okqo?t=37"",""videoLink"":{""externalVideoId"":""3I1_5M7Okqo"",""startTimeSeconds"":37}}"
UgxcMAxIRZi8Cy6J_i94AaABAg.8uuUx_BFl6I8uvS8a-0nxZ,UCPUuVY7w8brL0r__P8UBgyQ,2019-05-14T17:59:59.245345+00:00,0,UgxcMAxIRZi8Cy6J_i94AaABAg,evVi_D7C6mA,"{""text"":""Only control engi-nerds would think of a Bode plot 😁""}"
Ugx7AXXiTMFabSVisoh4AaABAg.8uubRSTFSR_8uvS-vBvKbh,UCPUuVY7w8brL0r__P8UBgyQ,2019-05-14T17:58:48.25108+00:00,0,Ugx7AXXiTMFabSVisoh4AaABAg,HgjZ21uv4lc,"{""text"":""I don't have exact data but I would guess a few hours for a full charge.  It charges pretty quickly so you can do things like charge it while you are taking a shower and it stays mostly charged.  I think 5 days of normal use is reasonable.  I've seen it go longer if it isn't being used heavily.""}"
UgyTZ1VNY8eEy6wFZBV4AaABAg.8upq1r_6xOP8urHyLDIYKZ,UCPUuVY7w8brL0r__P8UBgyQ,2019-05-13T03:14:06.398315+00:00,0,UgyTZ1VNY8eEy6wFZBV4AaABAg,LQf2Vd-frsA,"{""text"":""Thoper, you read my mind.  One of the videos that is coming in the very near future is how to design a controller using root locus.  Be sure to subscribe to the channel so you can catch it when it comes out.  Thank for watching.""}"
