Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
Total,,,,11145237,792635.4031,73606,64956.832,125347861,4.09
xlQ99tsv74A,Water Leaking From Freezer – Solved!,"Jul 27, 2020",249,1276582,42147.1489,2893,8996.895,18044236,2.88
3AhuzamWqqs,Garage Door Motor Not Working – Solved!,"Jan 24, 2022",583,326215,15781.0412,591,3438.59,2970687,7.12
0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",518,394175,18472.3839,811,3377.696,1775301,8.29
Pl9JZUrEWrQ,Ford Transit 15 Passenger Van Overview,"Oct 1, 2019",1699,195214,13217.8122,578,2441.613,1205479,6.71
wzV69AfLUBg,Refill Inkjet Printer Cartridges,"May 16, 2022",887,234694,18335.7092,662,2048.162,3015339,4.34
Z_V93Ex2VFc,Seating in a 15 Passenger Ford Transit Van/Wagon: Details and Removing Rear Seats,"Oct 15, 2019",2352,143145,15520.9208,712,1920.687,1476737,4.19
okP4Emly7eg,HDMI Output and USB Input on Your Phone,"Feb 22, 2021",1057,266054,15687.4184,1399,1703.592,2830264,4.61
Rhy82gY2caE,Using an iPad as a Second Laptop Monitor Via Duet Display,"Nov 27, 2018",861,243803,13367.4278,247,1078.12,2519889,5.18
wb3Dq4NM3QY,Using a Memory Saver When Disconnecting Your Car Battery,"Oct 15, 2019",419,175516,7860.1916,289,1068.189,992604,5.96
m7c45On2eYk,Getting Started with Blender for Video Editing,"Nov 14, 2019",2135,236360,25158.8483,3151,936.951,3346267,2.96
iAVNF-1MPoE,Refillable 1 Pound Propane Bottles,"Jul 5, 2021",1777,59210,10223.3461,302,927.614,691116,3.87
Yvgxx2vwsRY,Getting Started with Perforce and P4V,"Dec 22, 2017",963,163165,12802.1576,358,891.527,716986,8.29
okaxKzoyMK0,Coriolis Effect Demonstration (with Drones),"Jan 7, 2019",826,279099,19633.2863,3011,882.135,5496262,3.8
GpA6u3KR7EQ,Haul-Master Motorcycle Carrier from Harbor Freight,"Nov 2, 2020",2283,63936,8689.2504,116,872.814,609823,4.65
OUwfE_-tcfo,3D Plotting in Matlab,"Oct 19, 2018",2098,241974,19211.3984,1803,845.195,4354888,3.15
yEk_j0E4mdw,"Peloton Bike: Purchase, Assembly/Disassembly, Setup, and First Impressions","Oct 4, 2021",1293,65473,2823.1611,65,836.459,205309,10.05
HgjZ21uv4lc,Garmin vivomove HR Unboxing and Setup,"Dec 27, 2018",578,182053,9300.9801,158,836.284,1454424,8
vOVvPd4cC2Q,Reset Power Window Limits on a Ford Vehicle,"Jan 10, 2022",174,157408,3500.9629,120,777.572,402755,8.88
wEevt2a4SKI,Introduction to Linear Quadratic Regulator (LQR) Control,"Dec 3, 2018",5767,133331,20092.3015,2665,712.709,1532979,3.64
RLWe8dZeuEs,Automatic Cross References in Microsoft Word,"Aug 28, 2018",1178,101613,7851.7054,426,688.439,1304739,4.21
